archetype,delta,composite,alpha,n_finite,detection_rate
temporal_smoothing,1.5,z_mahalanobis_sq,0.001,500,0.002
temporal_smoothing,1.5,t_iut,0.05,500,0.056
temporal_smoothing,1.5,t_iut,0.01,500,0.016
temporal_smoothing,1.5,t_iut,0.001,500,0.0
temporal_smoothing,1.5,z_plus_softmax,0.05,500,0.122
temporal_smoothing,1.5,z_plus_softmax,0.01,500,0.106
temporal_smoothing,1.5,z_plus_softmax,0.001,500,0.104
temporal_smoothing,1.5,z_plus_orth,0.05,500,0.122
temporal_smoothing,1.5,z_plus_orth,0.01,500,0.104
temporal_smoothing,1.5,z_plus_orth,0.001,500,0.104
temporal_smoothing,2.0,z_plus,0.05,500,0.118
temporal_smoothing,2.0,z_plus,0.01,500,0.028
temporal_smoothing,2.0,z_plus,0.001,500,0.008
temporal_smoothing,2.0,z_plus_renorm,0.05,500,0.098
temporal_smoothing,2.0,z_plus_renorm,0.01,500,0.018
temporal_smoothing,2.0,z_plus_renorm,0.001,500,0.0
temporal_smoothing,2.0,breadth,0.05,500,0.004
temporal_smoothing,2.0,breadth,0.01,500,0.0
temporal_smoothing,2.0,breadth,0.001,500,0.0
temporal_smoothing,2.0,z_mahalanobis_sq,0.05,500,0.108
temporal_smoothing,2.0,z_mahalanobis_sq,0.01,500,0.014
temporal_smoothing,2.0,z_mahalanobis_sq,0.001,500,0.002
temporal_smoothing,2.0,t_iut,0.05,500,0.056
temporal_smoothing,2.0,t_iut,0.01,500,0.004
temporal_smoothing,2.0,t_iut,0.001,500,0.002
temporal_smoothing,2.0,z_plus_softmax,0.05,500,0.152
temporal_smoothing,2.0,z_plus_softmax,0.01,500,0.144
temporal_smoothing,2.0,z_plus_softmax,0.001,500,0.144
temporal_smoothing,2.0,z_plus_orth,0.05,500,0.156
temporal_smoothing,2.0,z_plus_orth,0.01,500,0.144
temporal_smoothing,2.0,z_plus_orth,0.001,500,0.144
temporal_smoothing,3.0,z_plus,0.05,500,0.15
temporal_smoothing,3.0,z_plus,0.01,500,0.032
temporal_smoothing,3.0,z_plus,0.001,500,0.004
temporal_smoothing,3.0,z_plus_renorm,0.05,500,0.154
temporal_smoothing,3.0,z_plus_renorm,0.01,500,0.024
temporal_smoothing,3.0,z_plus_renorm,0.001,500,0.0
temporal_smoothing,3.0,breadth,0.05,500,0.006
temporal_smoothing,3.0,breadth,0.01,500,0.0
temporal_smoothing,3.0,breadth,0.001,500,0.0
temporal_smoothing,3.0,z_mahalanobis_sq,0.05,500,0.184
temporal_smoothing,3.0,z_mahalanobis_sq,0.01,500,0.014
temporal_smoothing,3.0,z_mahalanobis_sq,0.001,500,0.002
temporal_smoothing,3.0,t_iut,0.05,500,0.066
temporal_smoothing,3.0,t_iut,0.01,500,0.006
temporal_smoothing,3.0,t_iut,0.001,500,0.002
temporal_smoothing,3.0,z_plus_softmax,0.05,500,0.198
temporal_smoothing,3.0,z_plus_softmax,0.01,500,0.194
temporal_smoothing,3.0,z_plus_softmax,0.001,500,0.194
temporal_smoothing,3.0,z_plus_orth,0.05,500,0.194
temporal_smoothing,3.0,z_plus_orth,0.01,500,0.194
